ImpfungDatum,count
2003-03-31 00:00:00.000,1
2005-05-21 00:00:00.000,1
1990-03-06 00:00:00.000,1
2015-02-11 00:00:00.000,1
1974-04-21 00:00:00.000,1
1967-09-22 00:00:00.000,1
2013-06-14 00:00:00.000,1
2002-08-26 00:00:00.000,1
2013-07-31 00:00:00.000,1
2013-05-25 00:00:00.000,1
2015-01-29 00:00:00.000,1
2010-10-19 00:00:00.000,1
2010-01-27 00:00:00.000,1
1997-03-04 00:00:00.000,1
2008-06-26 00:00:00.000,1
1984-02-08 00:00:00.000,1
2015-02-12 00:00:00.000,1
1997-03-07 00:00:00.000,1
1974-09-19 00:00:00.000,1
2014-12-12 00:00:00.000,1
2014-12-17 00:00:00.000,1
2014-12-26 00:00:00.000,1
1978-07-14 00:00:00.000,1
2010-10-28 00:00:00.000,1
2014-12-23 00:00:00.000,1
1984-07-13 00:00:00.000,1
2015-01-05 00:00:00.000,1
2003-07-20 00:00:00.000,1
2015-01-11 00:00:00.000,1
2015-01-02 00:00:00.000,1
2013-05-12 00:00:00.000,1
1991-12-20 00:00:00.000,1
2009-11-04 00:00:00.000,1
2015-01-08 00:00:00.000,1
2002-12-06 00:00:00.000,1
1991-12-05 00:00:00.000,1
2014-10-23 00:00:00.000,1
1974-07-16 00:00:00.000,1
1972-07-21 00:00:00.000,1
1976-02-17 00:00:00.000,1
2014-11-13 00:00:00.000,1
1972-04-25 00:00:00.000,1
2014-07-10 00:00:00.000,1
1998-04-02 00:00:00.000,1
2011-12-06 00:00:00.000,1
1988-02-01 00:00:00.000,1
1984-01-16 00:00:00.000,1
1986-06-06 00:00:00.000,1
1994-10-12 00:00:00.000,1
2019-03-01 00:00:00.000,1
2005-04-07 00:00:00.000,1
2019-03-15 00:00:00.000,1
1979-02-01 00:00:00.000,1
2007-06-29 00:00:00.000,1
2018-06-30 00:00:00.000,1
2002-06-01 00:00:00.000,1
2011-05-01 00:00:00.000,1
2019-02-28 00:00:00.000,1
2006-11-01 00:00:00.000,1
2019-02-01 00:00:00.000,1
2019-01-18 00:00:00.000,1
2018-08-06 00:00:00.000,1
2019-01-14 00:00:00.000,1
2004-11-08 00:00:00.000,1
2004-07-20 00:00:00.000,1
2012-06-01 00:00:00.000,1
2019-02-18 00:00:00.000,1
1969-08-18 00:00:00.000,1
2001-08-21 00:00:00.000,1
2019-05-02 00:00:00.000,1
2018-10-08 00:00:00.000,1
2019-04-25 00:00:00.000,1
1990-02-02 00:00:00.000,1
2019-04-09 00:00:00.000,1
2019-03-27 00:00:00.000,1
2019-03-07 00:00:00.000,1
2004-03-30 00:00:00.000,1
2018-11-01 00:00:00.000,1
2004-06-01 00:00:00.000,1
2018-07-11 00:00:00.000,1
2005-09-22 00:00:00.000,1
