ReportingDate,count
2009-02-02 00:00:00.000,21
2013-05-17 00:00:00.000,21
2011-05-22 00:00:00.000,21
2003-04-28 00:00:00.000,21
2010-06-14 00:00:00.000,21
2001-09-03 00:00:00.000,21
2010-03-15 00:00:00.000,21
2015-03-04 00:00:00.000,21
2009-06-01 00:00:00.000,21
2002-11-18 00:00:00.000,21
2007-11-19 00:00:00.000,21
2015-04-13 00:00:00.000,21
2007-04-16 00:00:00.000,21
2007-03-05 00:00:00.000,21
2015-04-28 00:00:00.000,21
2009-03-23 00:00:00.000,20
2015-03-18 00:00:00.000,20
2009-05-18 00:00:00.000,20
2005-04-25 00:00:00.000,20
2005-03-28 00:00:00.000,20
2015-03-13 00:00:00.000,20
2010-07-12 00:00:00.000,20
2005-05-16 00:00:00.000,20
2015-03-26 00:00:00.000,20
2006-01-30 00:00:00.000,20
2006-02-06 00:00:00.000,20
2015-01-16 00:00:00.000,20
2007-06-11 00:00:00.000,20
2015-02-17 00:00:00.000,20
2009-06-15 00:00:00.000,20
2013-05-16 00:00:00.000,20
2003-06-23 00:00:00.000,20
2013-06-10 00:00:00.000,20
2005-02-28 00:00:00.000,20
2013-07-23 00:00:00.000,20
2003-02-03 00:00:00.000,20
2005-03-21 00:00:00.000,19
2006-07-31 00:00:00.000,19
2010-05-24 00:00:00.000,19
2013-05-24 00:00:00.000,19
2001-09-17 00:00:00.000,19
2015-02-25 00:00:00.000,19
2015-02-26 00:00:00.000,19
2007-11-12 00:00:00.000,19
2015-03-05 00:00:00.000,19
2013-05-31 00:00:00.000,19
2015-03-09 00:00:00.000,19
2015-03-19 00:00:00.000,19
2010-11-01 00:00:00.000,19
2009-04-27 00:00:00.000,19
2009-03-30 00:00:00.000,19
2015-03-25 00:00:00.000,19
2007-03-26 00:00:00.000,19
2003-05-05 00:00:00.000,19
2008-03-03 00:00:00.000,19
2010-05-31 00:00:00.000,19
2011-05-12 00:00:00.000,19
2001-10-08 00:00:00.000,18
2001-10-01 00:00:00.000,18
2010-04-19 00:00:00.000,18
2015-03-10 00:00:00.000,18
2013-05-15 00:00:00.000,18
2011-05-25 00:00:00.000,18
2009-05-11 00:00:00.000,18
2015-04-24 00:00:00.000,18
2015-04-16 00:00:00.000,18
2010-08-16 00:00:00.000,18
2001-09-24 00:00:00.000,18
2013-05-18 00:00:00.000,18
2010-04-05 00:00:00.000,17
2015-02-16 00:00:00.000,17
2015-01-22 00:00:00.000,17
2007-05-21 00:00:00.000,17
2003-06-16 00:00:00.000,17
2015-01-13 00:00:00.000,17
2015-03-11 00:00:00.000,17
2009-03-16 00:00:00.000,17
2002-08-26 00:00:00.000,17
2010-11-29 00:00:00.000,17
2015-02-03 00:00:00.000,17
2011-01-24 00:00:00.000,17
2006-01-23 00:00:00.000,17
2013-06-07 00:00:00.000,17
2010-09-27 00:00:00.000,16
2005-01-24 00:00:00.000,16
2013-05-29 00:00:00.000,16
2013-05-28 00:00:00.000,16
2007-02-19 00:00:00.000,16
2015-02-09 00:00:00.000,16
2011-06-06 00:00:00.000,16
2005-02-21 00:00:00.000,16
2015-01-15 00:00:00.000,16
2013-06-06 00:00:00.000,16
2005-01-31 00:00:00.000,16
2015-01-06 00:00:00.000,16
2013-05-23 00:00:00.000,16
2011-03-28 00:00:00.000,15
2011-05-30 00:00:00.000,15
2007-05-28 00:00:00.000,15
2015-02-02 00:00:00.000,15
2015-01-14 00:00:00.000,15
2006-07-24 00:00:00.000,15
2010-06-28 00:00:00.000,15
2011-05-17 00:00:00.000,15
2013-06-12 00:00:00.000,15
2013-05-26 00:00:00.000,15
2015-05-11 00:00:00.000,15
2015-04-22 00:00:00.000,15
2013-06-14 00:00:00.000,15
2002-12-16 00:00:00.000,15
2015-03-21 00:00:00.000,15
2015-01-09 00:00:00.000,15
2015-05-04 00:00:00.000,15
2002-11-11 00:00:00.000,15
2017-04-24 00:00:00.000,15
2015-03-27 00:00:00.000,15
2009-04-06 00:00:00.000,14
2005-01-17 00:00:00.000,14
2013-06-08 00:00:00.000,14
2015-01-07 00:00:00.000,14
2007-12-03 00:00:00.000,14
2007-06-18 00:00:00.000,14
2011-05-26 00:00:00.000,14
2015-04-15 00:00:00.000,14
2015-05-18 00:00:00.000,14
2017-02-23 00:00:00.000,14
2010-12-13 00:00:00.000,14
2010-12-06 00:00:00.000,14
2008-02-11 00:00:00.000,14
2011-02-14 00:00:00.000,14
2013-05-30 00:00:00.000,14
2011-05-27 00:00:00.000,14
2015-04-23 00:00:00.000,14
2010-03-22 00:00:00.000,14
2003-06-30 00:00:00.000,14
2005-02-07 00:00:00.000,14
2007-04-02 00:00:00.000,14
2005-07-04 00:00:00.000,14
2015-05-07 00:00:00.000,14
2015-03-06 00:00:00.000,14
2003-04-07 00:00:00.000,14
2008-02-18 00:00:00.000,13
2013-07-03 00:00:00.000,13
2008-01-28 00:00:00.000,13
2015-03-14 00:00:00.000,13
2011-05-06 00:00:00.000,13
2002-09-02 00:00:00.000,13
2015-01-25 00:00:00.000,13
2003-03-24 00:00:00.000,13
2011-04-30 00:00:00.000,13
2010-02-22 00:00:00.000,13
2010-10-25 00:00:00.000,13
