SequenceName	type	date
02-00705	D7	2002-03-28
02-00706	D7	2002-03-28
02-00707	D7	2002-03-26
02-00708	D7	2002-03-31
02-00709	D7	2002-04-02
02-00710	D7	2002-04-02
02-00711	D5	2002-04-02
02-00713	D7	2002-04-03
02-00714	D7	2002-04-03
02-00715	D7	2002-04-02
02-00716	D7	2002-04-02
02-00717	D7	2002-04-02
02-00726	D7	2002-04-04
02-00729	D7	2002-04-03
02-00730	D7	2002-04-04
02-00731	D7	2002-04-04
02-00732	D7	2002-04-07
02-00733	D7	2002-04-04
02-00735	D7	2002-04-09
02-00737	D7	2002-04-08
02-00751	D7	2002-04-10
02-00752	D7	2002-04-11
02-00755	D7	2002-04-15
02-00786	D7	2002-04-15
02-00787	D7	2002-04-15
02-00788	D7	2002-04-16
02-00790	D7	2002-04-16
02-00791	D7	2002-04-16
02-00794	D7	2002-04-17
02-00796	D7	2002-04-22
02-00797	D7	2002-04-23
02-00798	D7	2002-04-23
02-00799	D7	2002-04-23
02-00800	D7	2002-04-22
02-00804	D7	2002-04-26
02-00805	D7	2002-04-25
02-00807	D7	2002-04-25
02-00808	D7	2002-04-25
02-00809	D7	2002-04-25
02-00810	D7	2002-04-26
02-00812	D7	2002-04-26
02-00813	D7	2002-04-29
02-00816	D7	2002-04-29
02-00819	D7	2002-05-02
02-00820	D7	2002-05-02
02-00821	D7	2002-04-30
02-00824	D7	2002-05-03
02-00825	D7	2002-05-02
02-00826	D7	2002-05-02
02-00828	D7	2002-05-07
02-00829	D7	2002-05-06
02-00835	D7	2002-05-08
02-00836	D7	2002-05-08
02-00837	D7	2002-05-07
02-00838	D7	2002-05-13
02-00839	D7	2002-05-13
02-00840	D7	2002-05-13
02-00841	D7	2002-05-13
02-00843	D7	2002-05-14
02-00845	D7	2002-05-13
02-00846	D7	2002-05-13
02-00847	D7	2002-05-15
02-00851	D7	2002-05-21
02-00852	D7	2002-05-21
02-00853	D7	2002-05-21
02-00854	D7	2002-05-22
02-00855	D7	2002-05-22
02-00857	D7	2002-05-23
02-00858	D7	2002-05-21
02-00859	D7	2002-05-06
02-00860	D7	2002-05-24
02-00861	D7	2002-05-24
02-00865	D7	2002-05-27
02-00866	D7	2002-05-27
02-00872	D7	2002-06-10
02-00934	D7	2002-06-12
02-00940	D7	2002-06-14
02-00944	D7	2002-06-18
02-01044	D7	2002-07-09
02-01093	D7	2002-09-19
02-01094	D7	2002-09-19
02-02019	C2	2002-11-11
02-02200	C2	2002-12-04
02-02211	D7	2002-12-10
02-02212	C2	2002-12-09
02-02218	C2	2002-12-23
03-00096	C2	2003-01-15
03-00173	C2	2003-01-10
03-00176	C2	2003-01-14
03-00177	C2	2003-01-14
03-00178	C2	2003-01-14
03-00179	C2	2003-01-14
03-00181	C2	2003-01-14
03-00182	C2	2003-01-14
03-00183	C2	2003-01-14
03-00186	C2	2003-01-15
03-00187	C2	2003-01-15
03-00188	C2	2003-01-14
03-00203	C2	2003-01-16
03-00212	C2	2003-01-28
03-00222	D7	2003-02-05
03-00234	C2	2003-02-14
03-00236	D7	2003-02-17
03-00239	D7	2003-02-18
03-00241	C2	2003-02-17
03-00242	C2	2003-02-17
03-00243	C2	2003-02-17
03-00251	C2	2003-02-24
03-00253	D7	2003-02-25
03-00254	D7	2003-02-24
03-00255	C2	2003-02-27
03-00257	C2	2003-02-26
03-00263	D7	2003-03-05
03-00265	D7	2003-03-07
03-00266	D7	2003-03-07
03-00282	D7	2003-03-19
03-00283	D7	2003-03-17
03-00306	D7	2003-04-03
03-00351	D7	2003-04-15
03-00359	D7	2003-04-25
03-00380	C2	2003-05-08
